Record Length,45000,,Source,CH1
Sample Interval,CH1:0.0004000000000,,Second,Volt
Vertical Units,CH1:V,,-9.00000000000,0.40000,
Vertical Scale,CH1:5.00,,-8.99959900000,0.40000,
Vertical Offset,CH1:0.80000,,-8.99920000000,0.20000,
Horizontal Units,s,,-8.99879900000,0.20000,
Horizontal Scale,1.0000000000,,-8.99840000000,0.40000,
Model Number,ADS-3072B,,-8.99800000000,0.40000,
Serial Number,NEU100P2150638,,-8.99760000000,0.40000,
Software Version,5.01.02.29,,-8.99720000000,0.20000,
,,,-8.99679900000,0.20000,
,,,-8.99640000000,0.20000,
,,,-8.99599900000,0.20000,
,,,-8.99560000000,0.20000,
,,,-8.99520000000,0.20000,
,,,-8.99480000000,0.20000,
,,,-8.99440000000,0.20000,
,,,-8.99399900000,0.40000,
,,,-8.99360000000,0.20000,
,,,-8.99319900000,0.20000,
,,,-8.99280000000,0.20000,
,,,-8.99240000000,0.20000,
,,,-8.99200000000,0.20000,
,,,-8.99160000000,0.20000,
,,,-8.99119900000,0.20000,
,,,-8.99080000000,0.20000,
,,,-8.99039900000,0.20000,
,,,-8.99000000000,0.20000,
,,,-8.98960000000,0.40000,
,,,-8.98920000000,0.20000,
,,,-8.98880000000,0.20000,
,,,-8.98840000000,0.40000,
,,,-8.98800000000,0.20000,
,,,-8.98759900000,0.20000,
,,,-8.98720000000,0.40000,
,,,-8.98680000000,0.40000,
,,,-8.98640000000,0.20000,
,,,-8.98600000000,0.40000,
,,,-8.98560000000,0.40000,
,,,-8.98520000000,0.40000,
,,,-8.98479900000,0.40000,
,,,-8.98440000000,0.40000,
,,,-8.98400000000,0.40000,
,,,-8.98360000000,0.40000,
,,,-8.98320000000,0.40000,
,,,-8.98280000000,0.40000,
,,,-8.98240000000,0.40000,
,,,-8.98199900000,0.40000,
,,,-8.98160000000,0.40000,
,,,-8.98120000000,0.40000,
,,,-8.98080000000,0.40000,
,,,-8.98040000000,0.20000,
,,,-8.98000000000,0.20000,
,,,-8.97960000000,0.40000,
,,,-8.97919900000,0.20000,
,,,-8.97880000000,0.40000,
,,,-8.97840000000,0.20000,
,,,-8.97800000000,0.20000,
,,,-8.97760000000,0.20000,
,,,-8.97720000000,0.20000,
,,,-8.97680000000,0.20000,
,,,-8.97639900000,0.00,
,,,-8.97600000000,0.20000,
,,,-8.97560000000,0.20000,
,,,-8.97520000000,0.20000,
,,,-8.97480000000,0.20000,
,,,-8.97440000000,0.20000,
,,,-8.97400000000,0.20000,
,,,-8.97359900000,0.20000,
,,,-8.97320000000,0.20000,
,,,-8.97279900000,0.20000,
,,,-8.97240000000,0.20000,
,,,-8.97200000000,0.20000,
,,,-8.97160000000,0.20000,
,,,-8.97120000000,0.20000,
,,,-8.97079900000,0.20000,
,,,-8.97040000000,0.20000,
,,,-8.96999900000,0.20000,
,,,-8.96960000000,0.20000,
,,,-8.96920000000,0.20000,
,,,-8.96880000000,0.20000,
,,,-8.96840000000,0.40000,
,,,-8.96799900000,0.20000,
,,,-8.96760000000,0.40000,
,,,-8.96719900000,0.40000,
,,,-8.96680000000,0.40000,
,,,-8.96640000000,0.20000,
,,,-8.96600000000,0.20000,
,,,-8.96560000000,0.40000,
,,,-8.96519900000,0.20000,
,,,-8.96480000000,0.40000,
,,,-8.96439900000,0.20000,
,,,-8.96400000000,0.40000,
,,,-8.96360000000,0.40000,
,,,-8.96320000000,0.40000,
,,,-8.96280000000,0.40000,
,,,-8.96239900000,0.40000,
,,,-8.96200000000,0.40000,
,,,-8.96159900000,0.40000,
,,,-8.96120000000,0.40000,
,,,-8.96080000000,0.20000,
,,,-8.96040000000,0.40000,
,,,-8.96000000000,0.40000,
,,,-8.95959900000,0.40000,
,,,-8.95920000000,0.40000,
,,,-8.95879900000,0.40000,
,,,-8.95840000000,0.40000,
,,,-8.95800000000,0.40000,
,,,-8.95760000000,0.40000,
,,,-8.95720000000,0.40000,
,,,-8.95680000000,0.20000,
,,,-8.95640000000,0.40000,
,,,-8.95599900000,0.40000,
,,,-8.95560000000,0.40000,
,,,-8.95520000000,0.20000,
,,,-8.95480000000,0.40000,
,,,-8.95440000000,0.20000,
,,,-8.95400000000,0.20000,
,,,-8.95360000000,0.20000,
,,,-8.95319900000,0.40000,
,,,-8.95280000000,0.40000,
,,,-8.95240000000,0.40000,
,,,-8.95200000000,0.40000,
